Case ID;concept:name;Timestamp fixed;Resource
173688;O_SELECTED;2011-10-01T06:45:09+01:00;10862
173688;O_CREATED;2011-10-01T06:45:11+01:00;10862
173688;O_SENT;2011-10-01T06:45:11+01:00;10862
173688;O_SENT_BACK;2011-10-10T06:33:03+01:00;11049
173688;O_ACCEPTED;2011-10-13T05:37:29+01:00;10629
173691;O_SELECTED;2011-10-01T09:35:46+01:00;10862
173691;O_CREATED;2011-10-01T09:35:47+01:00;10862
173691;O_SENT;2011-10-01T09:35:47+01:00;10862
173691;O_SELECTED;2011-10-03T11:56:17+01:00;11120
173691;O_CANCELLED;2011-10-03T11:56:17+01:00;11120
173691;O_CREATED;2011-10-03T11:56:19+01:00;11120
173691;O_SENT;2011-10-03T11:56:19+01:00;11120
173691;O_SENT_BACK;2011-10-10T05:14:43+01:00;11049
173691;O_ACCEPTED;2011-10-10T09:17:26+01:00;10809
173694;O_SELECTED;2011-10-03T08:40:14+01:00;11201
173694;O_CREATED;2011-10-03T08:40:15+01:00;11201
173694;O_SENT;2011-10-03T08:40:15+01:00;11201
173694;O_SELECTED;2011-10-03T08:44:17+01:00;11201
173694;O_CANCELLED;2011-10-03T08:44:17+01:00;11201
173694;O_CREATED;2011-10-03T08:44:19+01:00;11201
173694;O_SENT;2011-10-03T08:44:19+01:00;11201
173694;O_SELECTED;2011-10-17T15:43:53+01:00;10861
173694;O_CANCELLED;2011-10-17T15:43:53+01:00;10861
173694;O_CREATED;2011-10-17T15:43:55+01:00;10861
173694;O_SENT;2011-10-17T15:43:55+01:00;10861
173694;O_SENT_BACK;2011-11-02T06:15:16+01:00;11049
173694;O_ACCEPTED;2011-11-04T13:04:52+01:00;10609
173715;O_SELECTED;2011-10-01T07:30:20+01:00;10912
173715;O_CREATED;2011-10-01T07:30:21+01:00;10912
173715;O_SENT;2011-10-01T07:30:21+01:00;10912
173715;O_SENT_BACK;2011-10-10T07:54:03+01:00;10899
173715;O_DECLINED;2011-10-13T06:05:24+01:00;10138
173718;O_SELECTED;2011-10-01T05:44:40+01:00;10862
173718;O_CREATED;2011-10-01T05:44:42+01:00;10862
173718;O_SENT;2011-10-01T05:44:42+01:00;10862
173718;O_SELECTED;2011-10-01T05:46:52+01:00;10862
173718;O_CANCELLED;2011-10-01T05:46:52+01:00;10862
173718;O_CREATED;2011-10-01T05:46:54+01:00;10862
173718;O_SENT;2011-10-01T05:46:54+01:00;10862
173718;O_SENT_BACK;2011-10-10T05:55:04+01:00;11049
173718;O_ACCEPTED;2011-10-27T05:17:53+01:00;10972
173721;O_SELECTED;2011-10-01T06:20:47+01:00;10939
173721;O_CREATED;2011-10-01T06:20:49+01:00;10939
173721;O_SENT;2011-10-01T06:20:49+01:00;10939
173721;O_SENT_BACK;2011-10-06T04:49:46+01:00;11029
173721;O_DECLINED;2011-10-10T11:28:25+01:00;11009
173730;O_SELECTED;2011-10-01T10:40:08+01:00;11203
173730;O_CREATED;2011-10-01T10:40:09+01:00;11203
173730;O_SENT;2011-10-01T10:40:10+01:00;11203
173730;O_SENT_BACK;2011-10-14T05:21:08+01:00;11029
173730;O_ACCEPTED;2011-10-21T05:08:14+01:00;10972
173736;O_SELECTED;2011-10-01T11:05:26+01:00;11203
173736;O_CREATED;2011-10-01T11:05:27+01:00;11203
173736;O_SENT;2011-10-01T11:05:27+01:00;11203
173736;O_SELECTED;2011-10-04T07:59:20+01:00;10982
173736;O_CANCELLED;2011-10-04T07:59:20+01:00;10982
173736;O_CREATED;2011-10-04T07:59:21+01:00;10982
173736;O_SENT;2011-10-04T07:59:21+01:00;10982
173736;O_SENT_BACK;2011-10-10T08:33:58+01:00;10899
173736;O_SELECTED;2011-10-13T06:36:52+01:00;11169
173736;O_CANCELLED;2011-10-13T06:36:52+01:00;11169
173736;O_CREATED;2011-10-13T06:36:53+01:00;11169
173736;O_SENT;2011-10-13T06:36:53+01:00;11169
173736;O_SENT_BACK;2011-10-18T06:20:36+01:00;11029
173736;O_ACCEPTED;2011-10-18T08:01:28+01:00;10809
173739;O_SELECTED;2011-10-01T10:56:39+01:00;11000
173739;O_CREATED;2011-10-01T10:56:40+01:00;11000
173739;O_SENT;2011-10-01T10:56:40+01:00;11000
173739;O_SENT_BACK;2011-10-11T05:19:12+01:00;11029
173739;O_ACCEPTED;2011-10-14T11:22:47+01:00;10629
