Case ID;concept:name;Timestamp normalized;Resource
173688;A_SUBMITTED;2011-09-30T19:38:00+01:00;0
173688;A_PARTLYSUBMITTED;2011-09-30T19:38:00+01:00;0
173688;A_PREACCEPTED;2011-09-30T19:39:00+01:00;0
173688;A_ACCEPTED;2011-10-01T06:42:00+01:00;0
173688;A_FINALIZED;2011-10-01T06:45:00+01:00;1
173688;A_REGISTERED;2011-10-13T05:37:00+01:00;0
173688;A_APPROVED;2011-10-13T05:37:00+01:00;1
173688;A_ACTIVATED;2011-10-13T05:37:00+01:00;0
173691;A_SUBMITTED;2011-10-01T03:08:00+01:00;0
173691;A_PARTLYSUBMITTED;2011-10-01T03:09:00+01:00;1
173691;A_PREACCEPTED;2011-10-01T03:09:00+01:00;1
173691;A_ACCEPTED;2011-10-01T09:33:00+01:00;1
173691;A_FINALIZED;2011-10-01T09:35:46+01:00;1
173691;A_APPROVED;2011-10-10T09:17:00+01:00;0
173691;A_REGISTERED;2011-10-10T09:17:00+01:00;0
173691;A_ACTIVATED;2011-10-10T09:17:00+01:00;0
173694;A_SUBMITTED;2011-10-01T03:10:00+01:00;1
173694;A_PARTLYSUBMITTED;2011-10-01T03:10:00+01:00;1
173694;A_PREACCEPTED;2011-10-01T03:11:13+01:00;1
173694;A_ACCEPTED;2011-10-03T08:34:00+01:00;1
173694;A_FINALIZED;2011-10-03T08:40:00+01:00;0
173694;A_APPROVED;2011-11-04T13:04:00+01:00;1
173694;A_REGISTERED;2011-11-04T13:04:00+01:00;0
173694;A_ACTIVATED;2011-11-04T13:04:00+01:00;1
173697;A_SUBMITTED;2011-10-01T03:11:00+01:00;1
173697;A_PARTLYSUBMITTED;2011-10-01T03:11:09+01:00;0
173697;A_DECLINED;2011-10-01T03:11:00+01:00;0
173700;A_SUBMITTED;2011-10-01T03:15:00+01:00;1
173700;A_PARTLYSUBMITTED;2011-10-01T03:15:00+01:00;0
173700;A_DECLINED;2011-10-01T03:16:21+01:00;0
173703;A_SUBMITTED;2011-10-01T04:45:00+01:00;1
