Case ID;concept:name;Timestamp normalized;Resource
173688;A_SUBMITTED;2011-09-30T19:38:00+01:00;112
173688;A_PARTLYSUBMITTED;2011-09-30T19:38:00+01:00;112
173688;A_PREACCEPTED;2011-09-30T19:39:00+01:00;112
173688;A_ACCEPTED;2011-10-01T06:42:00+01:00;10862
173688;A_FINALIZED;2011-10-01T06:45:00+01:00;10862
173688;A_REGISTERED;2011-10-13T05:37:00+01:00;10629
173688;A_APPROVED;2011-10-13T05:37:00+01:00;10629
173688;A_ACTIVATED;2011-10-13T05:37:00+01:00;10629
173691;A_SUBMITTED;2011-10-01T03:08:00+01:00;112
173691;A_PARTLYSUBMITTED;2011-10-01T03:09:00+01:00;112
173691;A_PREACCEPTED;2011-10-01T03:09:00+01:00;112
173691;A_ACCEPTED;2011-10-01T09:33:00+01:00;10862
173691;A_FINALIZED;2011-10-01T09:35:46+01:00;10862
173691;A_APPROVED;2011-10-10T09:17:00+01:00;10809
173691;A_REGISTERED;2011-10-10T09:17:00+01:00;10809
173691;A_ACTIVATED;2011-10-10T09:17:00+01:00;10809
173694;A_SUBMITTED;2011-10-01T03:10:00+01:00;112
173694;A_PARTLYSUBMITTED;2011-10-01T03:10:00+01:00;112
173694;A_PREACCEPTED;2011-10-01T03:11:13+01:00;112
173694;A_ACCEPTED;2011-10-03T08:34:00+01:00;11201
173694;A_FINALIZED;2011-10-03T08:40:00+01:00;11201
173694;A_APPROVED;2011-11-04T13:04:00+01:00;10609
173694;A_REGISTERED;2011-11-04T13:04:00+01:00;10609
173694;A_ACTIVATED;2011-11-04T13:04:00+01:00;10609
173697;A_SUBMITTED;2011-10-01T03:11:00+01:00;112
173697;A_PARTLYSUBMITTED;2011-10-01T03:11:09+01:00;112
173697;A_DECLINED;2011-10-01T03:11:00+01:00;112
173700;A_SUBMITTED;2011-10-01T03:15:00+01:00;112
173700;A_PARTLYSUBMITTED;2011-10-01T03:15:00+01:00;112
173700;A_DECLINED;2011-10-01T03:16:21+01:00;112
173703;A_SUBMITTED;2011-10-01T04:45:00+01:00;112
173703;A_PARTLYSUBMITTED;2011-10-01T04:45:00+01:00;112
173703;A_PREACCEPTED;2011-10-01T04:46:00+01:00;112
173703;A_CANCELLED;2011-10-01T08:02:11+01:00;10912
173706;A_SUBMITTED;2011-10-01T04:45:00+01:00;112
173706;A_PARTLYSUBMITTED;2011-10-01T04:45:00+01:00;112
173706;A_PREACCEPTED;2011-10-01T05:16:00+01:00;10912
173706;A_DECLINED;2011-10-01T09:59:00+01:00;11111
173709;A_SUBMITTED;2011-10-01T04:57:00+01:00;112
173709;A_PARTLYSUBMITTED;2011-10-01T04:57:00+01:00;112
173709;A_PREACCEPTED;2011-10-01T04:58:27+01:00;112
173709;A_CANCELLED;2011-11-01T06:15:00+01:00;112
173712;A_SUBMITTED;2011-10-01T04:58:00+01:00;112
173712;A_PARTLYSUBMITTED;2011-10-01T04:58:00+01:00;112
173712;A_PREACCEPTED;2011-10-01T05:10:00+01:00;10912
173712;A_CANCELLED;2011-10-03T09:42:00+01:00;11180
173715;A_SUBMITTED;2011-10-01T04:59:00+01:00;112
173715;A_PARTLYSUBMITTED;2011-10-01T04:59:00+01:00;112
173715;A_PREACCEPTED;2011-10-01T04:59:00+01:00;112
173715;A_ACCEPTED;2011-10-01T07:24:00+01:00;10912
173715;A_FINALIZED;2011-10-01T07:30:00+01:00;10912
173715;A_DECLINED;2011-10-13T06:05:00+01:00;10138
173718;A_SUBMITTED;2011-10-01T05:37:00+01:00;112
173718;A_PARTLYSUBMITTED;2011-10-01T05:37:00+01:00;112
173718;A_PREACCEPTED;2011-10-01T05:38:00+01:00;112
173718;A_ACCEPTED;2011-10-01T05:42:00+01:00;10862
173718;A_FINALIZED;2011-10-01T05:44:00+01:00;10862
173718;A_APPROVED;2011-10-27T05:17:00+01:00;10972
173718;A_REGISTERED;2011-10-27T05:17:00+01:00;10972
173718;A_ACTIVATED;2011-10-27T05:17:00+01:00;10972
173721;A_SUBMITTED;2011-10-01T06:07:00+01:00;112
173721;A_PARTLYSUBMITTED;2011-10-01T06:07:00+01:00;112
173721;A_PREACCEPTED;2011-10-01T06:08:17+01:00;112
173721;A_ACCEPTED;2011-10-01T06:18:00+01:00;10939
173721;A_FINALIZED;2011-10-01T06:20:00+01:00;10939
173721;A_DECLINED;2011-10-10T11:28:00+01:00;11009
173724;A_SUBMITTED;2011-10-01T06:52:00+01:00;112
173724;A_PARTLYSUBMITTED;2011-10-01T06:52:00+01:00;112
173724;A_PREACCEPTED;2011-10-01T07:20:54+01:00;10939
173724;A_DECLINED;2011-10-03T10:48:00+01:00;11201
