Case ID;concept:name;Complete Timestamp;Resource;(case) AMOUNT_REQ
173688;A_SUBMITTED;30.09.2011 19:38;112;20000
173688;A_PARTLYSUBMITTED;30.09.2011 19:38;112;20000
173688;A_PREACCEPTED;30.09.2011 19:39;112;20000
173688;A_ACCEPTED;01.10.2011 06:42;10862;20000
173688;A_FINALIZED;01.10.2011 06:45;10862;20000
173688;A_REGISTERED;13.10.2011 05:37;10629;20000
173688;A_APPROVED;13.10.2011 05:37;10629;20000
173688;A_ACTIVATED;13.10.2011 05:37;10629;20000
173691;A_SUBMITTED;01.10.2011 03:08;112;5000
173691;A_PARTLYSUBMITTED;01.10.2011 03:09;112;5000
173691;A_PREACCEPTED;01.10.2011 03:09;112;5000
173691;A_ACCEPTED;01.10.2011 09:33;10862;5000
173691;A_FINALIZED;2011/10/01 09:35:46.016;10862;5000
173691;A_APPROVED;10.10.2011 09:17;10809;5000
173691;A_REGISTERED;10.10.2011 09:17;10809;5000
173691;A_ACTIVATED;10.10.2011 09:17;10809;5000
173694;A_SUBMITTED;01.10.2011 03:10;112;7000
173694;A_PARTLYSUBMITTED;01.10.2011 03:10;112;7000
173694;A_PREACCEPTED;2011/10/01 03:11:13.026;112;7000
173694;A_ACCEPTED;03.10.2011 08:34;11201;7000
173694;A_FINALIZED;03.10.2011 08:40;11201;7000
173694;A_APPROVED;04.11.2011 13:04;10609;7000
173694;A_REGISTERED;04.11.2011 13:04;10609;7000
173694;A_ACTIVATED;04.11.2011 13:04;10609;7000
173697;A_SUBMITTED;01.10.2011 03:11;112;15000
173697;A_PARTLYSUBMITTED;2011/10/01 03:11:09.035;112;15000
173697;A_DECLINED;01.10.2011 03:11;112;15000
173700;A_SUBMITTED;01.10.2011 03:15;112;5000
173700;A_PARTLYSUBMITTED;01.10.2011 03:15;112;5000
173700;A_DECLINED;2011/10/01 03:16:21.037;112;5000
173703;A_SUBMITTED;01.10.2011 04:45;112;13500
173703;A_PARTLYSUBMITTED;01.10.2011 04:45;112;13500
173703;A_PREACCEPTED;01.10.2011 04:46;112;13500
173703;A_CANCELLED;2011/10/01 08:02:11.068;10912;13500
173706;A_SUBMITTED;01.10.2011 04:45;112;18000
173706;A_PARTLYSUBMITTED;01.10.2011 04:45;112;18000
173706;A_PREACCEPTED;01.10.2011 05:16;10912;18000
173706;A_DECLINED;01.10.2011 09:59;11111;18000
173709;A_SUBMITTED;01.10.2011 04:57;112;11000
173709;A_PARTLYSUBMITTED;01.10.2011 04:57;112;11000
173709;A_PREACCEPTED;2011/10/01 04:58:27.038;112;11000
173709;A_CANCELLED;01.11.2011 06:15;112;11000
173712;A_SUBMITTED;01.10.2011 04:58;112;30000
173712;A_PARTLYSUBMITTED;01.10.2011 04:58;112;30000
173712;A_PREACCEPTED;01.10.2011 05:10;10912;30000
173712;A_CANCELLED;03.10.2011 09:42;11180;30000
173715;A_SUBMITTED;01.10.2011 04:59;112;45000
173715;A_PARTLYSUBMITTED;01.10.2011 04:59;112;45000
173715;A_PREACCEPTED;01.10.2011 04:59;112;45000
173715;A_ACCEPTED;01.10.2011 07:24;10912;45000
173715;A_FINALIZED;01.10.2011 07:30;10912;45000
173715;A_DECLINED;13.10.2011 06:05;10138;45000
173718;A_SUBMITTED;01.10.2011 05:37;112;15000
173718;A_PARTLYSUBMITTED;01.10.2011 05:37;112;15000
173718;A_PREACCEPTED;01.10.2011 05:38;112;15000
173718;A_ACCEPTED;01.10.2011 05:42;10862;15000
173718;A_FINALIZED;01.10.2011 05:44;10862;15000
173718;A_APPROVED;27.10.2011 05:17;10972;15000
173718;A_REGISTERED;27.10.2011 05:17;10972;15000
173718;A_ACTIVATED;27.10.2011 05:17;10972;15000
173721;A_SUBMITTED;01.10.2011 06:07;112;9000
173721;A_PARTLYSUBMITTED;01.10.2011 06:07;112;9000
173721;A_PREACCEPTED;2011/10/01 06:08:17.093;112;9000
173721;A_ACCEPTED;01.10.2011 06:18;10939;9000
173721;A_FINALIZED;01.10.2011 06:20;10939;9000
173721;A_DECLINED;10.10.2011 11:28;11009;9000
173724;A_SUBMITTED;01.10.2011 06:52;112;15000
173724;A_PARTLYSUBMITTED;01.10.2011 06:52;112;15000
